scenario,queries,mean_ndcg_at_10,ndcg_ci_95_low,ndcg_ci_95_high,mean_mrr_at_10,mean_exact_recall_at_10,queries_without_exact_at_10_pct
idealni_redoslijed,5041,1.0,1.0,1.0,1.0,0.87957475955988,0.0
jedan_irelevantan_prvi,5041,0.7691864745789548,0.7679805149702972,0.7703421098831329,0.5,0.8536684639252567,0.0
nasumicni_redoslijed,5041,0.5353365851685415,0.5309459397153653,0.539850728887093,0.5824316855751095,0.5304280133627576,5.242610593136283
exact_rezultati_zadnji,5041,0.19553950348448232,0.19103285172404974,0.19987617452525122,0.059875135004077665,0.13800547615716294,64.49117238643126
